Influenciador,fator
"Mês: 1 - Local: SANTOS: Enxofre de qualquer espécie, ...",variação acumlulado ano
Mês: 2 - Local: SANTOS: Milho,acumulado trimestre
Mês: 3 - Local: SANTOS: Pastas químicas de madeira,peso
"Mês: 4 - Local: PECEM: Adubos  contendo dois ou três dos seguintes elementos fertilizantes: azoto (nitrogénio), fósforo e potássio  ",relação de troca
Mês: 10 - Local: RS,chuvas
Mês: 6 - Local: MACEIO: Açúcares de cana ou de beterraba ,acumulado trimestre
Mês: 7 - Local: MACEIO: Adubos  azotados,acumulado ano
Mês: 8 - Local: VITORIA: resíduos sólidos da extração do óleo de soja,acumulado trimestre
Mês: 8 - Local: RS,chuvas
Mês: 8 - Local: RS,chuvas
"Mês: 11 - Local: MACEIO: Óleos de petróleo... , em peso, 70 % ",variação acumlulado ano
"Mês: 12 - Local: SAO FRANCISCO DO SUL: Adubos  contendo dois ou três dos seguintes elementos fertilizantes: azoto (nitrogénio), fósforo e potássio  ",variação ano anterior
